0     DEBUG [main] org.fireinsight.util.Props - Props: envPropFileName : null
0     DEBUG [main] org.fireinsight.util.Props - Props: Using default env file: /props/env/dev/scriptinsight.properties
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [IgnoreList=http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/dojo.js]
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [ProxyServerPort=2554]
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [TaskPoolSize=20]
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Host: ads.cnn.com
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Referer: http://www.cnn.com/2010/WORLD/americas/01/15/Olympic.preview/index.html?hpt=Sbin
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Cookie: op203homepagegum4=mvt-no; NGUserID=a3d0066-6568-1265877164-1; switchEdition=false; s_sess=%20s_cc%3Dtrue%3B%20s_sq%3Dcnn3global%253D%252526pid%25253D/2010/WORLD/americas/01/15/Olympic.preview/index.html%252526pidt%25253D1%252526oid%25253Djavascript%2525253Acnn_stryichgN%25252528%25252529%2525253B%252526ot%25253DA%3B; rsi_segs_ttn=A09801_10136|A09801_10001; adDEmas=R00&hi&shawcable.net&73&can&-1&0&56&-&-&-&1836&; adDEon=true; CNNid=629d4f47-27745-1265877200-685; SelectedEdition=www; mrvPages=Vancouver%20welcomes%20the%20world%20-%20CNN.com%7Chttp%3A//www.cnn.com/2010/WORLD/americas/01/15/Olympic.preview/index.html%3Fhpt%3DSbin%7C2/11/2010-0%3A35
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:36:43 GMT
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                AdServer: ads1ad21:9678:1
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                P3P: CP="NOI DEVa TAIa OUR BUS UNI"
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=0, no-cache, private
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 08:36:43 GMT
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Pragma: no-cache
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Keep-Alive: timeout=5, max=15
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Connection: Keep-Alive
1641891 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Content-Type: text/html
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - >> Request [http://i.cdn.turner.com/cnn/.element/img/3.0/mosaic/bg_speccov_hdr.gif]
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Host: i.cdn.turner.com
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Referer: http://www.cnn.com/2010/WORLD/americas/01/15/Olympic.preview/index.html?hpt=Sbin
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:36:41 GMT
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 09:08:55 GMT
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 23 Oct 2009 20:10:07 GMT
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=3600
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Content-Type: image/gif
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
1641906 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - >> Request [http://i.cdn.turner.com/cnn/2010/images/01/15/header_vancouver_games_story.gif]
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Host: i.cdn.turner.com
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Referer: http://www.cnn.com/2010/WORLD/americas/01/15/Olympic.preview/index.html?hpt=Sbin
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:36:41 GMT
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 09:12:19 GMT
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 15 Jan 2010 16:20:48 GMT
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=3600
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Content-Type: image/gif
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
1641969 INFO  [pool-1-thread-7] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - >> Request [http://ad.doubleclick.net/adi/N5767.cnn.comOX2310/B4117660.4;sz=728x90;click=http://ads.cnn.com/event.ng/Type=click&FlightID=276379&AdID=379562&TargetID=84007&Segments=1119,2247,2274,2607,2743,2853,3285,4898,9496,9779,9784,9853,10372,13103,13105,13106,13108,13109,13112,15605,16113,16338,17173,17251,18517,18823,18857,18888,18902,18982,20139,20226,23491,23724,25515,25536,25539,25545,25548,25551,26167,31433,31686,32576,32594,32859,33299,33300,33406,33776,34092,34282,34604,34895,34896,35360&Values=1588&Redirect=;ord=Rvxtki,bfxhqkqnzpKh?]
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 404 Not Found
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Host: ad.doubleclick.net
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Referer: http://ads.cnn.com/html.ng/site=cnn&cnn_pagetype=bst&cnn_position=728x90_top&cnn_rollup=world&cnn_section=winter_olympics&page.allowcompete=yes&params.styles=fs&tile=1077927785622&domId=475896
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Cookie: test_cookie=CheckForPermission; id=22251819f600008e||t=1265877354|et=730|cs=r7hqv42u
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Content-Type: text/html
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:36:42 GMT
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Server: GFE/2.0
1642156 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                X-XSS-Protection: 0
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - >> Request [http://ads.cnn.com/event.ng/Type=count&ClientType=2&ASeg=&AMod=&AdID=379562&FlightID=276379&TargetID=84007&SiteID=1588&EntityDefResetFlag=0&Segments=1119,2247,2274,2607,2743,2853,3285,4898,9496,9779,9784,9853,10372,13103,13105,13106,13108,13109,13112,15605,16113,16338,17173,17251,18517,18823,18857,18888,18902,18982,20139,20226,23491,23724,25515,25536,25539,25545,25548,25551,26167,31433,31686,32576,32594,32859,33299,33300,33406,33776,34092,34282,34596,34604,34895,34896,35360&Targets=31327,2739,1515,85060,85665,29142,82407,75999,84007&Values=60,84,100,150,682,683,685,687,730,1285,1588,1598,1599,1600,1601,1744,1815,2690,2738,4432,47458,52263,52897,56058,56941,57005,57006,57896,58702,59988,59993,60589,60852&RawValues=NGUSERID%2Ca3d0066-6568-1265877164-1%2CTIELID%2C1077927785622&random=bfRNcpf,bfxhqmInzsbs]
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 302 Found
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Host: ads.cnn.com:80
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Referer: http://ads.cnn.com/html.ng/site=cnn&cnn_pagetype=bst&cnn_position=728x90_top&cnn_rollup=world&cnn_section=winter_olympics&page.allowcompete=yes&params.styles=fs&tile=1077927785622&domId=475896
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Cookie: op203homepagegum4=mvt-no; NGUserID=a3d0066-6568-1265877164-1; switchEdition=false; s_sess=%20s_cc%3Dtrue%3B%20s_sq%3Dcnn3global%253D%252526pid%25253D/2010/WORLD/americas/01/15/Olympic.preview/index.html%252526pidt%25253D1%252526oid%25253Djavascript%2525253Acnn_stryichgN%25252528%25252529%2525253B%252526ot%25253DA%3B; rsi_segs_ttn=A09801_10136|A09801_10001; adDEmas=R00&hi&shawcable.net&73&can&-1&0&56&-&-&-&1836&; adDEon=true; CNNid=629d4f47-27745-1265877200-685; SelectedEdition=www; mrvPages=Vancouver%20welcomes%20the%20world%20-%20CNN.com%7Chttp%3A//www.cnn.com/2010/WORLD/americas/01/15/Olympic.preview/index.html%3Fhpt%3DSbin%7C2/11/2010-0%3A35
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:36:44 GMT
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Pragma: no-cache
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Cache-control: no-cache, max-age=0, no-cache, private
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Location: http://i.cdn.turner.com/cnn/images/1.gif
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 08:36:44 GMT
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Keep-Alive: timeout=5, max=15
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Connection: Keep-Alive
1642203 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Content-Type: text/html
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - >> Request [http://i.cdn.turner.com/cnn/images/1.gif]
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Host: i.cdn.turner.com
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Referer: http://ads.cnn.com/html.ng/site=cnn&cnn_pagetype=bst&cnn_position=728x90_top&cnn_rollup=world&cnn_section=winter_olympics&page.allowcompete=yes&params.styles=fs&tile=1077927785622&domId=475896
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:36:42 GMT
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Expires: Sat, 01 Feb 2020 13:37:45 GMT
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 20 Apr 2007 13:13:15 GMT
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=315360000
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Content-Type: image/gif
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
1642281 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://www.cnn.com/.element/js/3.0/connect/stry_controls.js isRepeatable=[false], isStreaming=[false]
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler - >> Request [http://www.cnn.com/.element/js/3.0/connect/stry_controls.js]
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Host: www.cnn.com
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Accept: */*
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Referer: http://www.cnn.com/2010/WORLD/americas/01/15/Olympic.preview/index.html?hpt=Sbin
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Cookie: op203homepagegum4=mvt-no; switchEdition=false; s_sess=%20s_cc%3Dtrue%3B%20s_sq%3Dcnn3global%253D%252526pid%25253D/2010/WORLD/americas/01/15/Olympic.preview/index.html%252526pidt%25253D1%252526oid%25253Djavascript%2525253Acnn_stryichgN%25252528%25252529%2525253B%252526ot%25253DA%3B; rsi_segs_ttn=A09801_10136|A09801_10001; adDEmas=R00&hi&shawcable.net&73&can&-1&0&56&-&-&-&1836&; adDEon=true; CNNid=629d4f47-27745-1265877200-685; SelectedEdition=www; mrvPages=Vancouver%20welcomes%20the%20world%20-%20CNN.com%7Chttp%3A//www.cnn.com/2010/WORLD/americas/01/15/Olympic.preview/index.html%3Fhpt%3DSbin%7C2/11/2010-0%3A35
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:36:43 GMT
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Wed, 06 Jan 2010 14:31:03 GMT
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=60
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 08:37:33 GMT
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/x-javascript
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Keep-Alive: timeout=2, max=10
1642469 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Connection: Keep-Alive
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://www.cnn.com/.element/js/3.0/connect/mynews_storage.js isRepeatable=[false], isStreaming=[false]
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler - >> Request [http://www.cnn.com/.element/js/3.0/connect/mynews_storage.js]
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Host: www.cnn.com
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Accept: */*
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Referer: http://www.cnn.com/2010/WORLD/americas/01/15/Olympic.preview/index.html?hpt=Sbin
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Cookie: op203homepagegum4=mvt-no; switchEdition=false; s_sess=%20s_cc%3Dtrue%3B%20s_sq%3Dcnn3global%253D%252526pid%25253D/2010/WORLD/americas/01/15/Olympic.preview/index.html%252526pidt%25253D1%252526oid%25253Djavascript%2525253Acnn_stryichgN%25252528%25252529%2525253B%252526ot%25253DA%3B; rsi_segs_ttn=A09801_10136|A09801_10001; adDEmas=R00&hi&shawcable.net&73&can&-1&0&56&-&-&-&1836&; adDEon=true; CNNid=629d4f47-27745-1265877200-685; SelectedEdition=www; mrvPages=Vancouver%20welcomes%20the%20world%20-%20CNN.com%7Chttp%3A//www.cnn.com/2010/WORLD/americas/01/15/Olympic.preview/index.html%3Fhpt%3DSbin%7C2/11/2010-0%3A35
1643125 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
